market,symbol,korean_name,english_name,sector,price_krw,change_24h_pct,trade_value_24h_krw,rsi14,obv20_norm,obv_divergence,adx14,plus_di,minus_di,ma20,ma60,ma120,trend,market_warning,candle_days
KRW-USDT,USDT,테더,Tether,기타/신규·세부검토,1409.0,0.35612536,124206036267.62755,30.53911741272306,-0.24871056906586533,없음,53.906439331934116,9.068174946074276,36.06080279864285,1434.25,1477.4666666666667,1481.5333333333333,강한 하락,NONE,200
KRW-CAP,CAP,캡,Cap,기타/신규·세부검토,63.2,13.87387387,63070167731.77026,,,,,,,,,,중립/횡보,NONE,5
KRW-BTC,BTC,비트코인,Bitcoin,비트코인/PoW,91235000.0,0.11522002,42078357482.84402,41.98369973114439,-0.2742846673819514,없음,32.659724000050836,13.26506010582644,24.16289961097894,92275500.0,93877866.66666667,102542058.33333333,강한 하락,NONE,200
KRW-XRP,XRP,엑스알피(리플),XRP,결제/거래소/금융,1450.0,0.2073255,37595211531.3308,30.797575619734204,-0.6550695301266812,없음,28.263390568027955,11.546960208635145,30.92238666374644,1536.25,1623.7166666666667,1816.4833333333333,강한 하락,NONE,200
KRW-GRVT,GRVT,그래비티토큰,Grvt,기타/신규·세부검토,489.0,12.1559633,36146457115.55578,,,,,,,,,,중립/횡보,NONE,6
KRW-ETH,ETH,이더리움,Ethereum,스마트컨트랙트 L1,2672000.0,-0.37285608,28470321759.63076,46.286049434584754,-0.270840026265908,없음,12.530566759107009,19.0106850050922,17.192845090169687,2718600.0,2646916.6666666665,2917458.3333333335,중립/횡보,NONE,200
KRW-MMT,MMT,모멘텀,Momentum,기타/신규·세부검토,296.0,2.42214533,22939559270.684902,57.627894423875254,-0.03204889802814494,약세 다이버전스,48.013828976832045,41.273600524507685,8.906929615929164,265.1,250.2,220.475,강한 상승,NONE,200
KRW-WLD,WLD,월드코인,Worldcoin,AI,483.0,10.02277904,19241137301.021267,47.70126698912974,-0.18494511904097996,없음,28.905240683425955,21.445997452816155,22.29562459572186,468.3,620.25,541.1666666666666,강한 하락,NONE,200
KRW-META2,META2,메타다오,MetaDAO,기타/신규·세부검토,7485.0,5.795053,12145925645.13528,,,,,,,,,,중립/횡보,NONE,13
KRW-RE,RE,리,Re,기타/신규·세부검토,610.0,6.83012259,12119171649.230295,42.826748158289085,0.22243396004960803,없음,9.987874685717193,26.684114955063368,17.093046779020035,646.7,,,중립/횡보,NONE,53
KRW-ESP,ESP,에스프레소,Espresso,기타/신규·세부검토,107.0,7.000000000000001,11494500731.13936,54.473312296612434,0.18166642750159984,없음,44.80699328803372,38.27876678954007,9.421722830956126,101.39,101.29333333333334,101.98666666666666,강한 상승,NONE,168
KRW-QUID,QUID,스퀴드,Squid,기타/신규·세부검토,130.0,4.0,9245152459.7991,,,,,,,,,,중립/횡보,NONE,7
KRW-HOME,HOME,디파이앱,Defi App,기타/신규·세부검토,14.1,12.8,8817700544.911695,,,,,,,,,,중립/횡보,NONE,7
KRW-ONDO,ONDO,온도파이낸스,Ondo Finance,DeFi/DEX,491.0,0.40899796,8817490870.030863,39.20859074964361,-0.2784378033830137,없음,16.595403028504784,19.646612713521076,22.720206852416386,547.3,520.4333333333333,511.0083333333333,중립/횡보,NONE,200
KRW-EUL,EUL,오일러,Euler,기타/신규·세부검토,1728.0,4.28485214,8715050945.632372,19.598908753192475,,,,,,,,,중립/횡보,NONE,16
KRW-LA,LA,라그랑주,Lagrange,기타/신규·세부검토,77.8,2.91005291,8630209566.403187,48.36058393130731,0.10462468558763802,강세 다이버전스,37.509493436420904,33.2614700001362,14.316293523190485,79.78,90.59333333333333,140.78833333333333,강한 추세·혼조,NONE,200
KRW-SOL,SOL,솔라나,Solana,스마트컨트랙트 L1,107700.0,0.5602240900000001,8613615621.257994,49.01413449235347,-0.24271185893658195,없음,16.771272420496526,20.329129928784223,22.435395770942353,106870.0,110391.66666666667,116907.91666666667,중립/횡보,NONE,200
KRW-ZBT,ZBT,제로베이스,ZEROBASE,기타/신규·세부검토,147.0,1.37931034,7204646337.148084,45.93106049738902,-0.18036837607044565,약세 다이버전스,43.784145279671684,33.29609780074536,9.46561322140191,166.45,171.56666666666666,193.71666666666667,강한 추세·혼조,NONE,200
KRW-SLX,SLX,솔스티스,Solstice,기타/신규·세부검토,111.0,2.77777778,7173429925.893619,32.20955717201164,-0.4104585877360078,없음,19.901226202442057,22.15314353040588,29.19820991616812,130.95,288.26666666666665,,약한 하락,NONE,71
KRW-DOGE,DOGE,도지코인,Dogecoin,비트코인/PoW,98.4,0.9230769200000001,6501446224.828262,38.077466207735775,-0.2519171355855597,없음,38.41106467336281,11.539865372817589,22.01377123557236,101.12,110.85666666666665,130.07,강한 하락,NONE,200
KRW-XLM,XLM,스텔라루멘,Lumen,스마트컨트랙트 L1,229.0,0.43859649,6336761957.562303,31.37715769777651,-0.420274232956077,없음,21.665218479408047,14.450799567991911,26.34819988838922,246.35,276.26666666666665,267.3,약한 하락,NONE,200
KRW-CHIP,CHIP,유에스디에이아이,USD.AI,기타/신규·세부검토,32.6,6.535947709999999,4639598027.90749,34.18791960162599,-0.1212835476881813,없음,22.087792737250208,12.26016313237525,26.997155743677084,37.305,44.62166666666667,,약한 하락,NONE,112
KRW-KAITO,KAITO,카이토,KAITO,AI,960.0,-1.336074,4157280424.7497945,36.563208011783786,-0.20020649311487446,없음,37.08150283630774,17.82135533939116,27.007235908642638,1427.65,1087.3666666666666,885.2833333333333,강한 하락,NONE,200
KRW-BLEND,BLEND,플루언트,Fluent,기타/신규·세부검토,94.3,0,3938637460.9416165,50.22607707135966,0.5846843166099169,없음,45.371146545173936,30.05031769929724,10.498997837297196,94.53,93.05166666666668,,강한 상승,NONE,104
KRW-PENGU,PENGU,펏지펭귄,Pudgy Penguins,밈,9.37,3.5359116000000004,3919306174.751717,57.51189857962794,-0.03133327065127884,약세 다이버전스,16.811929117466512,23.89803593738218,13.14292518467984,8.7865,9.313666666666668,10.970666666666666,중립/횡보,NONE,200
KRW-BSB,BSB,블록스트리트,Block Street,기타/신규·세부검토,209.0,5.55555556,3903356327.3308454,,,,,,,,,,중립/횡보,NONE,4
KRW-SHIB,SHIB,시바이누,Shiba Inu,밈,0.00659,1.6975308599999999,3807711416.3150034,47.682078927331794,0.4103028704744551,없음,28.3261724254231,27.281367919018347,20.551623730639765,0.006751999999999999,0.006689833333333334,0.007658333333333334,강한 추세·혼조,NONE,200
KRW-PUMP,PUMP,펌프펀,Pump.fun,기타/신규·세부검토,3.81,1.32978723,3454298869.043902,70.78515462950219,0.28849759020333277,없음,34.98240657105515,35.91503484028588,10.964542557801446,3.077,2.5545,2.6070833333333336,강한 상승,NONE,200
